gppd_idnr,capacity_mw
GEODB0040538,33
WKS0070144,10
WKS0071196,10
GEODB0040541,66
GEODB0040534,100
GEODB0040536,11.55
GEODB0040540,42
GEODB0040537,6
GEODB0040535,22
WRI1002169,27
WRI1002170,500
WRI1002171,600
WRI1002172,5
WRI1002173,24
WRI1002174,25
WRI1002175,250
WRI1002176,98
WKS0068905,20
WKS0065285,20
WRI1023776,520
WKS0068919,20
WKS0068916,20
WKS0073479,53
WKS0068915,20
WKS0068912,43.5
WRI1023795,71
WKS0068908,5
WRI1023777,560
WKS0072833,10
WRI1023792,100
WRI1023793,450
WRI1023781,450
WKS0065282,15
WKS0068917,60
WRI1023785,292
WKS0068918,30
WRI1023768,1200
WRI1023783,418
WRI1023796,72
WRI1023779,600
WRI1023790,200
WRI1023799,492
WKS0071083,20
WKS0068911,106.6
WKS0065280,73.8
WRI1023798,24
WKS0068914,5
WRI1023775,588
WRI1023784,345
WRI1023769,1200
WKS0068921,20
WRI1023815,396
WRI1023772,840
WRI1023789,184
WRI1023773,980
WKS0068920,19.9
WKS0065281,15
WKS0065283,20
WRI1023774,672
WKS0065284,20
WRI1023791,73
WKS0068907,5
WRI1023780,465
WRI1023778,484
WRI1023771,815
WRI1023797,150
WRI1023786,262
WKS0068926,13
WRI1023770,1200
WRI1023782,300
WRI1023787,200
WRI1023788,600
WKS0068909,9
WKS0068925,9
WKS0068922,12
WKS0068906,6
WRI1023002,22.8
WRI1023001,14.6
WRI1023003,180
WRI1023004,520
WRI1023005,132
WRI1023006,16.26
WRI1023007,20
WRI1023008,58
WRI1023009,18.5
WRI1023010,10
WRI1023011,40
WRI1023012,11.68
WRI1023013,16
WRI1023014,11.34
WRI1023843,6.6
WRI1022458,1
ARG0000231,479.2
ARG0000232,192
ARG0000210,130
ARG0000230,1050
ARG0000156,25
ARG0000235,97.5
ARG0000242,1.904
ARG0000194,50.7
ARG0000254,128
ARG0000029,370
ARG0000030,745
ARG0000328,31
ARG0000266,5.736000000000001
ARG0000085,38.4
ARG0000220,2.096
ARG0000310,31.900000000000002
ARG0000159,27.6
ARG0000116,1.415
ARG0000275,102
ARG0000195,120
ARG0000277,1.07
ARG0000278,4.182
ARG0000048,5.728
ARG0000049,7.075
ARG0000050,4.675
ARG0000183,60
ARG0000086,17.28
ARG0000031,620
ARG0000259,540
ARG0000319,11.228
ARG0000165,673.6
ARG0000166,164.55
ARG0000311,280
ARG0000274,643
ARG0000287,361
ARG0000330,32
ARG0000284,30.44
ARG0000155,25
ARG0000042,524
ARG0000043,868.2
ARG0000307,865.1400000000001
ARG0000296,121.4
ARG0000185,5
ARG0000295,2
ARG0000267,5.78
ARG0000221,2.372
ARG0000072,141.02
ARG0000067,16.56
ARG0000117,1.4000000000000001
ARG0000046,1982.2
ARG0000197,17.94
ARG0000087,5.052
ARG0000110,26
ARG0000217,15
ARG0000256,6.3
ARG0000229,15
ARG0000003,20
ARG0000333,19.2
ARG0000334,11.5
ARG0000273,20
ARG0000113,15.620000000000001
ARG0000023,49.800000000000004
ARG0000028,5
ARG0000054,19.2
ARG0000257,5
ARG0000314,18
ARG0000065,19.400000000000002
ARG0000189,10
ARG0000260,5
ARG0000039,15.3
ARG0000147,41.78
ARG0000114,20
ARG0000032,13.200000000000001
ARG0000160,567
ARG0000139,16.5
ARG0000149,30
ARG0000004,23.490000000000002
ARG0000138,13
ARG0000336,120
ARG0000152,4
ARG0000055,7.04
ARG0000083,24.5
ARG0000059,15
ARG0000035,22
ARG0000040,40.4
ARG0000190,19.2
ARG0000191,10
ARG0000153,7
ARG0000024,10.4
ARG0000025,23.37
ARG0000066,6
ARG0000170,15
ARG0000036,15.002
ARG0000041,15.686
ARG0000005,25
ARG0000163,41
ARG0000258,32
ARG0000022,20
ARG0000026,38.800000000000004
ARG0000286,15
ARG0000148,40
ARG0000056,15
ARG0000141,7.2
ARG0000037,22.400000000000002
ARG0000027,21
ARG0000154,16.25
ARG0000337,246
ARG0000315,19.2
ARG0000184,24
ARG0000262,130
ARG0000062,20
ARG0000060,15
ARG0000038,22.5
ARG0000161,5.1000000000000005
ARG0000341,396.62
ARG0000162,11.5
ARG0000142,6
ARG0000288,10
ARG0000057,8
ARG0000058,15
ARG0000342,438
ARG0000316,19.2
ARG0000143,10
ARG0000061,15
ARG0000261,5
ARG0000297,10.55
WKS0071212,80
WKS0072494,30
WKS0068701,300
ARG0000088,70.12
ARG0000157,68.44
ARG0000158,872.3
ARG0000338,14
ARG0000196,17
ARG0000255,1200
ARG0000211,14.4
ARG0000276,11
ARG0000112,648
ARG0000339,24
ARG0000119,2.215
ARG0000047,321
ARG0000240,67.5
ARG0000089,10.8
ARG0000079,60
ARG0000080,472
ARG0000329,60
ARG0000182,1.8
ARG0000090,72.78
ARG0000208,6
ARG0000121,1.33
ARG0000137,17.3
ARG0000269,5.2
ARG0000272,285
ARG0000091,3.115
ARG0000123,1.052
ARG0000124,1.33
WKS0072502,80
ARG0000270,6.2
ARG0000125,1.33
ARG0000164,128
ARG0000188,42
ARG0000222,22.150000000000002
ARG0000094,16
ARG0000169,30
ARG0000209,6.6000000000000005
ARG0000096,59.04
ARG0000097,4.5
ARG0000331,2.5
ARG0000212,224
ARG0000198,549.76
ARG0000006,34
ARG0000007,201.3
ARG0000015,2.02
ARG0000128,1.035
ARG0000129,2.308
ARG0000111,250
ARG0000008,206
ARG0000214,74.24
ARG0000215,133.12
ARG0000216,52
ARG0000213,22.400000000000002
ARG0000323,3.38
ARG0000044,1217.7
ARG0000223,17.2
ARG0000016,1.72
ARG0000001,845.26
ARG0000192,25.2
ARG0000193,25.2
ARG0000081,6.3
ARG0000082,3
ARG0000075,50
ARG0000076,48.6
ARG0000077,28.8
ARG0000132,2.1350000000000002
ARG0000078,123.7
ARG0000133,1.11
ARG0000305,2.4
ARG0000304,45.6
ARG0000233,1400
ARG0000099,6.3
ARG0000100,467
ARG0000101,216
ARG0000241,472
ARG0000298,1.2
ARG0000289,31.5
ARG0000340,19.2
ARG0000073,42
ARG0000045,589
ARG0000017,1.8
ARG0000299,45
ARG0000282,13.200000000000001
ARG0000103,35.57
ARG0000104,750
ARG0000332,19
ARG0000271,7.9
ARG0000144,945
ARG0000105,40
ARG0000250,4.218
ARG0000002,644
ARG0000227,2.216
ARG0000107,26
