gppd_idnr,commissioning_year
GEODB0040538,
WKS0070144,
WKS0071196,
GEODB0040541,
GEODB0040534,
GEODB0040536,
GEODB0040540,
GEODB0040537,
GEODB0040535,
WRI1002169,1965
WRI1002170,1978
WRI1002171,1985
WRI1002172,1951
WRI1002173,1963
WRI1002174,1958
WRI1002175,1971
WRI1002176,
WKS0068905,
WKS0065285,
WRI1023776,
WKS0068919,
WKS0068916,
WKS0073479,
WKS0068915,
WKS0068912,
WRI1023795,2010
WKS0068908,
WRI1023777,2010
WKS0072833,
WRI1023792,1980
WRI1023793,2016
WRI1023781,2016
WKS0065282,
WKS0068917,
WRI1023785,
WKS0068918,
WRI1023768,2009
WRI1023783,
WRI1023796,2013
WRI1023779,2015
WRI1023790,1988
WRI1023799,
WKS0071083,
WKS0068911,
WKS0065280,
WRI1023798,1952
WKS0068914,
WRI1023775,
WRI1023784,
WRI1023769,2013
WKS0068921,
WRI1023815,2015
WRI1023772,
WRI1023789,
WRI1023773,
WKS0068920,
WKS0065281,
WKS0065283,
WRI1023774,
WKS0065284,
WRI1023791,1974
WKS0068907,
WRI1023780,2010
WRI1023778,2007
WRI1023771,2006
WRI1023797,2011
WRI1023786,1975
WKS0068926,
WRI1023770,2013
WRI1023782,
WRI1023787,1980
WRI1023788,2016
WKS0068909,
WKS0068925,
WKS0068922,
WKS0068906,
WRI1023002,
WRI1023001,
WRI1023003,
WRI1023004,
WRI1023005,
WRI1023006,
WRI1023007,
WRI1023008,
WRI1023009,
WRI1023010,
WRI1023011,
WRI1023012,
WRI1023013,
WRI1023014,
WRI1023843,1981
WRI1022458,
ARG0000231,1997.4
ARG0000232,1993.5
ARG0000210,1982
ARG0000230,1987
ARG0000156,
ARG0000235,1969
ARG0000242,
ARG0000194,2003
ARG0000254,1977
ARG0000029,1974
ARG0000030,2014
ARG0000328,
ARG0000266,
ARG0000085,1966
ARG0000220,
ARG0000310,
ARG0000159,
ARG0000116,
ARG0000275,1978
ARG0000195,2002
ARG0000277,
ARG0000278,
ARG0000048,
ARG0000049,
ARG0000050,
ARG0000183,1996
ARG0000086,1953
ARG0000031,1990
ARG0000259,1999.5
ARG0000319,
ARG0000165,1997.7
ARG0000166,
ARG0000311,2013
ARG0000274,1999.4
ARG0000287,1993.3
ARG0000330,
ARG0000284,2010
ARG0000155,
ARG0000042,
ARG0000043,2008.7
ARG0000307,2008.7
ARG0000296,2009
ARG0000185,
ARG0000295,
ARG0000267,1954
ARG0000221,
ARG0000072,1990
ARG0000067,
ARG0000117,
ARG0000046,1983.9
ARG0000197,1969
ARG0000087,1943
ARG0000110,
ARG0000217,
ARG0000256,
ARG0000229,
ARG0000003,
ARG0000333,
ARG0000334,
ARG0000273,
ARG0000113,
ARG0000023,
ARG0000028,
ARG0000054,
ARG0000257,
ARG0000314,
ARG0000065,
ARG0000189,
ARG0000260,
ARG0000039,
ARG0000147,
ARG0000114,
ARG0000032,
ARG0000160,
ARG0000139,
ARG0000149,
ARG0000004,
ARG0000138,
ARG0000336,1995
ARG0000152,
ARG0000055,
ARG0000083,
ARG0000059,
ARG0000035,
ARG0000040,
ARG0000190,
ARG0000191,
ARG0000153,
ARG0000024,
ARG0000025,
ARG0000066,
ARG0000170,
ARG0000036,
ARG0000041,
ARG0000005,
ARG0000163,
ARG0000258,
ARG0000022,
ARG0000026,
ARG0000286,
ARG0000148,
ARG0000056,
ARG0000141,
ARG0000037,
ARG0000027,
ARG0000154,
ARG0000337,2002.5
ARG0000315,
ARG0000184,
ARG0000262,1995
ARG0000062,
ARG0000060,
ARG0000038,
ARG0000161,
ARG0000341,1999.5
ARG0000162,
ARG0000142,
ARG0000288,
ARG0000057,
ARG0000058,
ARG0000342,1998.3
ARG0000316,
ARG0000143,
ARG0000061,
ARG0000261,
ARG0000297,1997
WKS0071212,
WKS0072494,
WKS0068701,
ARG0000088,1967
ARG0000157,1969
ARG0000158,1999.1
ARG0000338,1966
ARG0000196,1971
ARG0000255,1975.5
ARG0000211,1989
ARG0000276,1972
ARG0000112,1984
ARG0000339,1956
ARG0000119,
ARG0000047,
ARG0000240,
ARG0000089,1943
ARG0000079,1963
ARG0000080,1978
ARG0000329,2015
ARG0000182,
ARG0000090,
ARG0000208,1950
ARG0000121,
ARG0000137,
ARG0000269,1963
ARG0000272,1999
ARG0000091,
ARG0000123,
ARG0000124,
WKS0072502,
ARG0000270,
ARG0000125,
ARG0000164,1997
ARG0000188,
ARG0000222,1969
ARG0000094,1958
ARG0000169,
ARG0000209,1970
ARG0000096,1957
ARG0000097,1958
ARG0000331,1963
ARG0000212,1983
ARG0000198,1988.1
ARG0000006,
ARG0000007,
ARG0000015,
ARG0000128,
ARG0000129,
ARG0000111,2003.2
ARG0000008,1968.6
ARG0000214,1957
ARG0000215,1968
ARG0000216,1972
ARG0000213,1965
ARG0000323,
ARG0000044,1988
ARG0000223,
ARG0000016,
ARG0000001,2001
ARG0000192,
ARG0000193,
ARG0000081,
ARG0000082,
ARG0000075,
ARG0000076,
ARG0000077,
ARG0000132,
ARG0000078,2001.1
ARG0000133,
ARG0000305,
ARG0000304,
ARG0000233,1993.5
ARG0000099,1995
ARG0000100,2010.3
ARG0000101,1971.3
ARG0000241,1979
ARG0000298,
ARG0000289,
ARG0000340,1967
ARG0000073,
ARG0000045,1965.5
ARG0000017,
ARG0000299,1981
ARG0000282,1962
ARG0000103,1974.5
ARG0000104,1986
ARG0000332,1976
ARG0000271,2012
ARG0000144,1980.4
ARG0000105,1978.5
ARG0000250,
ARG0000002,1965.4
ARG0000227,
ARG0000107,1944
ARG0000181,
ARG0000135,
ARG0000313,1962.2
ARG0000108,1981
WKS0071209,
ARG0000283,
ARG0000034,1998
ARG0000312,
ARG0000290,
ARG0000228,1991
ARG0000309,
ARG0000009,
ARG0000109,1971
ARG0000308,
ARG0000136,1995.6
WRI1019028,1980
WRI1019027,
WRI1019026,2010
WRI1003805,
WRI1019030,1978
WRI1019031,1989
WRI1019029,1970
WRI1019025,
AUS0000432,
AUS0000065,
AUS0000231,
AUS0000232,
AUS0000114,
AUS0000615,
AUS0000264,
AUS0000611,
AUS0000220,
AUS0000081,
AUS0000113,
AUS0000014,
AUS0000399,
AUS0000608,
AUS0000008,
WKS0065252,
WKS0069521,
AUS0000151,
AUS0000137,
AUS0000265,
AUS0000400,
AUS0000139,
AUS0000266,
AUS0000251,
AUS0000080,
WKS0069215,
AUS0000382,
AUS0000027,
AUS0000267,
AUS0000376,
AUS0000009,
AUS0000394,
AUS0000422,
AUS0000102,
AUS0000152,
AUS0000153,
AUS0000349,
AUS0000256,
WKS0070137,
AUS0000082,
AUS0000268,
AUS0000305,
AUS0000477,
AUS0000079,
AUS0000180,
AUS0000269,
AUS0000078,
AUS0000461,
WKS0066021,
WKS0070392,
AUS0000300,
AUS0000048,
AUS0000181,
AUS0000182,
AUS0000127,
AUS0000438,
AUS0000178,
AUS0000177,
AUS0000176,
AUS0000414,
AUS0000330,
AUS0000452,
AUS0000064,
AUS0000007,
AUS0000462,
AUS0000112,
AUS0000111,
AUS0000457,
AUS0000110,
AUS0000047,
AUS0000270,
AUS0000386,
AUS0000126,
AUS0000063,
AUS0000415,
AUS0000144,
AUS0000006,
AUS0000261,
AUS0000401,
WKS0068499,
AUS0000221,
AUS0000528,
AUS0000083,
AUS0000025,
AUS0000619,
AUS0000324,
AUS0000103,
AUS0000125,
AUS0000183,
AUS0000015,
AUS0000307,
AUS0000184,
AUS0000208,
AUS0000179,
AUS0000590,
AUS0000271,
AUS0000154,
AUS0000263,
AUS0000301,
AUS0000351,
AUS0000336,
AUS0000046,
AUS0000518,
AUS0000003,
AUS0000155,
AUS0000185,
AUS0000156,
AUS0000526,
AUS0000321,
AUS0000109,
WKS0068285,
AUS0000531,
WKS0065085,
AUS0000353,
AUS0000366,
AUS0000136,
AUS0000459,
AUS0000233,
WKS0064626,
AUS0000272,
AUS0000045,
AUS0000044,
AUS0000084,
AUS0000335,
