gppd_idnr,name,country,country_long,latitude,longitude,
GEODB0040538,Kajaki Hydroelectric Power Plant Afghanistan,AFG,Afghanistan,32.322,65.119,
WKS0070144,Kandahar DOG,AFG,Afghanistan,31.67,65.795,
WKS0071196,Kandahar JOL,AFG,Afghanistan,31.623,65.792,0
GEODB0040541,Mahipar Hydroelectric Power Plant Afghanistan,AFG,Afghanistan,34.556,69.4787,
GEODB0040534,Naghlu Dam Hydroelectric Power Plant Afghanistan,AFG,Afghanistan,34.641,69.717,
GEODB0040536,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,AFG,Afghanistan,34.4847,70.3633,
GEODB0040540,Northwest Kabul Power Plant Afghanistan,AFG,Afghanistan,34.5638,69.1134,
GEODB0040537,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,AFG,Afghanistan,35.9416,68.71,
GEODB0040535,Sarobi Dam Hydroelectric Power Plant Afghanistan,AFG,Afghanistan,34.5865,69.7757,
WRI1002169,Bistrica 1,ALB,Albania,39.9116,20.1047,
WRI1002170,Fierza,ALB,Albania,42.2514,20.0431,
WRI1002171,Koman,ALB,Albania,42.1033,19.8224,
WRI1002172,Lanabregas,ALB,Albania,41.3428,19.8964,
WRI1002173,Shkopet,ALB,Albania,41.6796,19.8305,
WRI1002174,Ulez,ALB,Albania,41.6796,19.8936,
WRI1002175,Vau i Dijes,ALB,Albania,42.0137,19.6359,
WRI1002176,Vlora,ALB,Albania,40.4874,19.434,
WKS0068905,Adrar,DZA,Algeria,27.908,-0.317,
WKS0065285,Ain Azel,DZA,Algeria,35.88,5.475,
WRI1023776,Ain Djasser,DZA,Algeria,35.8665,6.0262,
WKS0068919,Ain Sekhouna,DZA,Algeria,34.532,0.804,
WKS0068916,Ain el Ibel I,DZA,Algeria,34.346,3.164,
WKS0073479,Ain el Ibel II,DZA,Algeria,34.342,3.169,
WKS0068915,Ain el Melh,DZA,Algeria,34.861,4.204,
WKS0068912,Algerie Sud-Ouest,DZA,Algeria,27.908,-0.317,
WRI1023795,Annaba,DZA,Algeria,36.8924,7.7634,
WKS0068908,Aoulef,DZA,Algeria,26.9989,1.3351,
WRI1023777,Arbaa,DZA,Algeria,36.5988,3.1375,
WKS0072833,Bir Rebaa,DZA,Algeria,31.285,8.565,
WRI1023792,Boufarik 1,DZA,Algeria,36.5914,2.9223,
WRI1023793,Boufarik 2,DZA,Algeria,36.596,2.878,
WRI1023781,Boutelilis,DZA,Algeria,35.5658,-0.9386,
WKS0065282,Chelghoum El Aïd,DZA,Algeria,36.225,6.11,
WKS0068917,El Kheneg,DZA,Algeria,33.727,2.811,
WRI1023785,F'Krina,DZA,Algeria,35.7666,7.3619,
WKS0068918,HPC Ouargla,DZA,Algeria,32.602,5.834,
WRI1023768,Hadjret Ennous,DZA,Algeria,36.5767,2.0797,
WRI1023783,Hamma 2,DZA,Algeria,36.7489,3.0823,
WRI1023796,Hassi Messaoud Mobile,DZA,Algeria,31.6703,6.0531,
WRI1023779,Hassi Messoud,DZA,Algeria,31.6703,6.0531,
WRI1023790,Hassi Messoud Nord 2,DZA,Algeria,31.7877,6.0517,
WRI1023799,Hassi Messoud Ouest,DZA,Algeria,31.8065,5.9924,
WKS0071083,Hassi R'mel ISCC,DZA,Algeria,33.123,3.356,
WKS0068911,Hauts Plateaux Centre,DZA,Algeria,34.342,3.169,
WKS0065280,Hauts Plateaux Est,DZA,Algeria,35.68,5.9861,
WRI1023798,Ighil Emda,DZA,Algeria,36.4739,5.2719,
WKS0068914,In Salah,DZA,Algeria,27.183,2.504,
WRI1023775,Jijel,DZA,Algeria,36.8139,5.876,
WRI1023784,Kahrama IPP,DZA,Algeria,35.8064,-0.2476,
WRI1023769,Koudiet Eddraouch,DZA,Algeria,36.885,8.0778,
WKS0068921,Labiodh Sidi Cheikh,DZA,Algeria,32.945,0.555,
WRI1023815,Labreg,DZA,Algeria,34.5056,6.9848,
WRI1023772,Marsat,DZA,Algeria,35.8,-0.1924,
WRI1023789,Marsat TG,DZA,Algeria,35.8,-0.1924,
WRI1023773,Msila 1,DZA,Algeria,35.7071,4.4804,
WKS0068920,Naâma,DZA,Algeria,33.274,-0.372,
WKS0065281,Oued El Kebrit,DZA,Algeria,35.919,7.87,
WKS0065283,Oued el Ma,DZA,Algeria,35.68,5.9861,
WRI1023774,Ras Djinet,DZA,Algeria,36.8509,3.6983,
WKS0065284,Ras el Oued,DZA,Algeria,36.01,5.035,
WRI1023791,Ravin Blanc,DZA,Algeria,35.7095,-0.6319,
WKS0068907,Reggane,DZA,Algeria,26.768,0.137,
WRI1023780,Relizane,DZA,Algeria,35.7835,0.5407,
WRI1023778,SKB IPP,DZA,Algeria,36.1399,2.9296,
WRI1023771,SKS IPP SNC Lavalin,DZA,Algeria,36.8789,6.9366,
WRI1023797,SPP1 Thermal,DZA,Algeria,32.9475,3.238,
WRI1023786,Skikda,DZA,Algeria,36.88,6.935,
WKS0068926,Tamanrasset,DZA,Algeria,22.849,5.45,
WRI1023770,Terga,DZA,Algeria,35.4608,-1.2295,
WRI1023782,Tiaret,DZA,Algeria,35.3396,1.3562,
WRI1023787,Tilghemt 1,DZA,Algeria,33.1319,3.348,
WRI1023788,Tilghemt 2,DZA,Algeria,33.1377,3.3678,
WKS0068909,Timimoun,DZA,Algeria,29.22,0.223,
WKS0068925,Tindouf,DZA,Algeria,27.752,-8.154,
