"country","avg_output_gwh_13_to_17"
"United States of America","3543745.394608407"
"China","1957174.6259999909"
"India","941481.9027451507"
"Brazil","399974.8559999998"
"Canada","395022.2740000001"
"Russia","321834.30800000014"
"France","304768.6526000004"
"Japan","267901.96999999986"
"Germany","251815.90959999998"
"Australia","222686.13116668924"
"Spain","136932.71599999996"
"South Korea","118616.40600000005"
"Norway","117424.318"
"Italy","106426.0752"
"Mexico","105648.60999999999"
"Venezuela","93880.96600000001"
"United Kingdom","91543.55259999995"
"Vietnam","87588.37799999998"
"Turkey","84768.16000000003"
"Poland","81061.74399999998"
"Iran","74436.878"
"Sweden","72415.7368"
"Saudi Arabia","69344.036"
"South Africa","58881.736"
"Egypt","56412.814"
"Indonesia","56168.40800000001"
"Argentina","51283.73400000001"
"Ukraine","47569.288"
"Thailand","45937.51800000001"
"Taiwan","39650.304"
"Pakistan","39243.24199999999"
"Malaysia","37503.967999999986"
"Netherlands","37157.261999999995"
"Chile","36203.68800000001"
"Czech Republic","35562.48399999998"
"Paraguay","35346.871999999996"
"Belgium","33583.58"
"Switzerland","33122.71799999999"
"Austria","32326.909399999993"
"Portugal","32034.019999999997"
"United Arab Emirates","29474.627999999997"
"Colombia","28834.666000000005"
"Philippines","28149.09399999999"
"Romania","27099.4244"
"Kazakhstan","25780.786000000007"
"Greece","23452.8586"
"Finland","21915.9984"
"Peru","20579.538"
"Bulgaria","19044.349599999998"
"New Zealand","18913.752"
"Israel","16788.248"
"Tajikistan","16603.146"
"Iraq","15427.969999999996"
"Serbia","15336.7"
"Uzbekistan","14505.394"
"Bangladesh","14273.435999999996"
"Ecuador","13922.583999999997"
"Ethiopia","13831.076000000001"
"Algeria","13627.439999999997"
"Hungary","13446.017000000002"
"Myanmar","13043.169999999998"
"Kuwait","11711.872"
"Denmark","11607.069399999998"
"Morocco","11127.711999999998"
"North Korea","10923.332"
"Ireland","10809.4842"
"Zambia","10725.2"
"Slovakia","10680.594"
"Bahrain","9808.822"
"Laos","9567.689999999999"
"Kyrgyzstan","9171.720000000001"
"Bosnia and Herzegovina","9045.354"
"Uruguay","8576.766"
"Georgia","8269.132000000001"
"Syrian Arab Republic","8019.045999999999"
"Slovenia","7166.957"
"Belarus","7067.987999999998"
"Ghana","6655.454000000001"
"Sri Lanka","6626.486000000002"
"Croatia","6580.56"
"Azerbaijan","6389.960000000001"
"Oman","5897.504000000001"
"Jordan","5895.8719999999985"
"Tunisia","5758.406000000001"
"Iceland","5733.8240000000005"
"Estonia","5685.855399999999"
"Bhutan","5374.280000000001"
"Nigeria","5216.212000000001"
"Democratic Republic of the Congo","4897.8240000000005"
"Kenya","4691.91"
"Albania","4636.436"
"Guatemala","4538.582"
"Costa Rica","4515.284"
"Zimbabwe","4383.702"
"Armenia","4228.38"
"Latvia","3644.9072"
"Panama","3509.722"
"Honduras","3359.298"
"Mozambique","3200.3700000000003"
"Sudan","3159.312"
"Cameroon","3135.804"
"Angola","2712.036"
"Uganda","2608.656"
"Tanzania","2568.16"
"Bolivia","2533.874"
"El Salvador","2426.046"
"Nepal","2259.3360000000007"
"Cuba","2176.2980000000002"
"Luxembourg","2108.0214"
"Lithuania","2073.8586"
"Montenegro","2002.659"
"Macedonia","1983.06"
"Cote DIvoire","1975.8380000000002"
"Cambodia","1831.2220000000002"
"Malawi","1494.8619999999999"
"Dominican Republic","1441.146"
"Mali","1430.1860000000001"
"Guinea","1345.23"
"Namibia","1181.694"
"Congo","1178.652"
"Mongolia","1138.6619999999998"
"Senegal","1042.8600000000001"
"Gabon","935.2699999999999"
"Afghanistan","880.3520000000001"
"Mauritius","840.242"
"Nicaragua","714.228"
"Jamaica","606.8500000000001"
"Fiji","560.604"
"Moldova","547.704"
"Papua New Guinea","532.5600000000001"
"Rwanda","511.134"
"French Guiana","460.428"
"Madagascar","406.916"
"Liberia","261.17600000000004"
"Equatorial Guinea","211.31599999999997"
"Burkina Faso","207.248"
"Togo","198.198"
"Lesotho","184.872"
"Burundi","174.48200000000003"
"Sierra Leone","171.85999999999999"
"Swaziland","138.55599999999998"
"Niger","104.638"
"Mauritania","93.89399999999999"
"Central African Republic","69.25"
"Palestine","15.594"
"Cape Verde","10.994"
"Suriname","10.262"
"Saint Lucia","5.962000000000001"
