"commissioning_year","coal","cogeneration","wind","solar","storage","biomass","hydro","other","gas","waste","geothermal","petcoke","oil","nuclear","total_established"
"1896","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"1899","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"1900","0","0","0","0","0","0","3","0","1","0","0","0","2","0","6"
"1901","0","0","0","0","0","0","2","0","0","0","0","0","0","0","2"
"1902","0","0","0","0","0","0","4","0","0","0","0","0","0","0","4"
"1903","0","0","0","0","0","0","6","0","0","0","0","0","0","0","6"
"1904","0","0","0","0","0","0","4","0","0","0","0","0","0","0","4"
"1905","0","0","0","0","0","1","6","0","0","0","0","0","1","0","8"
"1906","0","0","0","0","0","0","8","0","0","0","0","0","0","0","8"
"1907","0","0","0","0","0","0","12","0","0","0","0","0","0","0","12"
"1908","1","0","0","0","0","0","8","0","0","0","0","0","0","0","9"
"1909","0","0","0","0","0","0","10","0","0","0","0","0","0","0","10"
"1910","0","0","0","0","0","0","11","0","0","0","0","0","0","0","11"
"1911","0","0","0","0","0","0","11","0","0","0","0","0","0","0","11"
"1912","0","0","0","0","0","0","17","0","1","0","0","0","0","0","18"
"1913","0","0","0","0","0","0","15","0","0","0","0","0","0","0","15"
"1914","0","0","0","0","0","0","17","0","1","0","0","0","0","0","18"
"1915","0","0","0","0","0","0","12","0","0","0","0","0","0","0","12"
"1916","0","0","0","0","0","0","13","0","0","0","0","0","0","0","13"
"1917","0","0","0","0","0","0","15","0","0","0","0","0","0","0","15"
"1918","0","0","0","0","0","0","17","0","0","0","0","0","0","0","17"
"1919","1","0","0","0","0","0","14","0","0","0","0","0","0","0","15"
"1920","1","0","0","0","0","0","16","0","0","0","0","0","0","0","17"
"1921","0","0","0","0","0","0","24","0","0","0","0","0","0","0","24"
"1922","0","0","0","0","0","0","20","0","0","0","0","0","0","0","20"
"1923","0","0","0","0","0","0","32","0","1","0","0","0","0","0","33"
"1924","1","0","0","0","0","0","36","0","0","0","0","0","0","0","37"
"1925","0","0","0","0","0","0","45","0","2","0","0","0","0","0","47"
"1926","0","0","0","0","0","0","28","0","0","0","0","0","0","0","28"
"1927","0","0","0","0","0","0","28","0","0","0","0","0","0","0","28"
