"country","power_from_coal","power_from_cogeneration","power_from_wind","power_from_solar","power_from_storage","power_from_biomass","power_from_hydro","power_from_other","power_from_gas","power_from_waste","power_from_geothermal","power_from_petcoke","power_from_oil","power_from_nuclear","total_power_from_all_fuels"
"Jamaica","0","0","0","47.574","0","0","50.736000000000004","0","0","0","0","0","0","0","98.31"
"Mongolia","0","0","0","78.654","0","0","0","0","0","0","0","0","0","0","78.654"
"United States of America","1005382.2290914002","3128.4609106000007","167867.38147399997","14614.296249999989","872.8203912","21964.1717202","264055.1905780001","1031.8610734","1094740.8651224005","36053.486639400006","15327.517415999995","7943.088459","8530.787224000007","781256.1422735996","3422768.2986232"
"Iraq","0","0","0","0","0","0","6438.098","0","0","0","0","0","0","0","6438.098"
"Mauritania","0","0","0","74.714","0","0","0","0","0","0","0","0","0","0","74.714"
"Mozambique","0","0","0","0","0","0","551.63","0","0","0","0","0","0","0","551.63"
"Switzerland","0","0","0","29.752000000000002","0","0","28482.832000000002","0","0","0","0","0","0","0","28512.584"
"New Zealand","0","0","1357.714","0","0","0","15703.838","0","0","0","0","0","0","0","17061.552"
"Ecuador","0","0","0","102.84","0","0","12522.658000000001","0","0","0","0","0","0","0","12625.498"
"Hungary","0","0","0","129.28199999999998","0","0","0","0","0","0","0","0","0","0","129.282"
"Indonesia","0","0","0","0","0","0","13312.305999999997","0","0","0","0","0","0","0","13312.306"
"Bangladesh","0","0","0","64.892","0","0","834.3759999999999","0","0","0","0","0","0","0","899.268"
"Venezuela","0","0","0","0","0","0","79653.804","0","0","0","0","0","0","0","79653.804"
"Cameroon","0","0","0","0","0","0","3069.9839999999995","0","0","0","0","0","0","0","3069.984"
"Luxembourg","0","0","0","0","0","0","1926.3993999999998","0","0","0","0","0","0","0","1926.3994"
"Czech Republic","0","0","0","1670.0160000000003","0","0","2686.865","0","0","0","0","0","0","0","4356.881"
"Sweden","0","0","511.65799999999996","0","0","0","46536.94659999999","0","0","0","0","0","0","0","47048.6046"
"Uganda","0","0","0","97.27","0","0","2511.386","0","0","0","0","0","0","0","2608.656"
"Montenegro","0","0","0","0","0","0","1506.7364000000002","0","0","0","0","0","0","0","1506.7364"
"Jordan","0","0","0","1343.2760000000003","0","0","0","0","0","0","0","0","0","0","1343.276"
"Syrian Arab Republic","0","0","0","0","0","0","3578.4619999999995","0","0","0","0","0","0","0","3578.462"
"Dominican Republic","0","0","0","261.75199999999995","0","0","570.426","0","0","0","0","0","0","0","832.178"
"Ireland","0","0","2178.37","0","0","0","974.47","0","0","0","0","0","0","0","3152.84"
"Cambodia","0","0","0","40.444","0","0","1780.4339999999997","0","0","0","0","0","0","0","1820.878"
"Macedonia","0","0","0","0","0","0","1325.586","0","0","0","0","0","0","0","1325.586"
"Papua New Guinea","0","0","0","0","0","0","532.5600000000001","0","0","0","0","0","0","0","532.56"
"Sri Lanka","0","0","0","87.956","0","0","4308.598","0","0","0","0","0","0","0","4396.554"
"Laos","0","0","0","0","0","0","9567.689999999999","0","0","0","0","0","0","0","9567.69"
"Uzbekistan","0","0","0","193.012","0","0","4238.772","0","0","0","0","0","0","0","4431.784"
"Portugal","0","0","11339.423200000005","1082.866","0","0","5700.220399999997","0","0","0","0","0","0","0","18122.5096"
"Finland","0","0","0","0","0","0","9586.7368","0","0","0","0","0","0","0","9586.7368"
"Colombia","0","0","0","198.56199999999998","0","0","26244.887999999995","0","0","0","0","0","0","0","26443.45"
"Albania","0","0","0","0","0","0","4636.436","0","0","0","0","0","0","0","4636.436"
"Ukraine","0","0","0","1117.836","0","0","18000.336","0","0","0","0","0","0","0","19118.172"
"Saudi Arabia","0","0","0","319.222","0","0","0","0","0","0","0","0","0","0","319.222"
"Cuba","0","0","0","18.067999999999998","0","0","0","0","0","0","0","0","0","0","18.068"
"Latvia","0","0","0","0","0","0","2774.7686000000003","0","0","0","0","0","0","0","2774.7686"
"North Korea","0","0","0","0","0","0","10171.016000000001","0","0","0","0","0","0","0","10171.016"
"Kyrgyzstan","0","0","0","0","0","0","8919.732","0","0","0","0","0","0","0","8919.732"
