"country","max_capacity","avg_capacity"
"Afghanistan","0.1","0.03339444444444445"
"Albania","0.6","0.191125"
"Algeria","1.2","0.26904745762711857"
"Angola","0.52","0.07651285714285715"
"Antarctica","0.0066","0.0038"
"Argentina","1.9822000000000002","0.13946219915254235"
"Armenia","1.11","0.408875"
"Australia","2.64","0.13549797530864205"
"Austria","1.272","0.10900097087378639"
"Azerbaijan","2.4","0.41171428571428587"
"Bahrain","2.204","0.9482875"
"Bangladesh","1.649","0.20771929824561397"
"Belarus","2.46","0.3556208333333333"
"Belgium","2.91","0.19427246376811594"
"Benin","0.0405","0.03025"
"Bhutan","1.02","0.29644"
"Bolivia","0.35000000000000003","0.06012"
"Bosnia and Herzegovina","0.73","0.199275"
"Botswana","0.732","0.373"
"Brazil","8.535","0.06253782683474579"
"Brunei Darussalam","0.246","0.1465"
"Bulgaria","2","0.21516744186046513"
"Burkina Faso","0.064","0.032758"
"Burundi","0.02","0.0142925"
"Cambodia","0.405","0.09485"
"Cameroon","0.396","0.1101975"
"Canada","5.6160000000000005","0.12388153580672903"
"Cape Verde","0.06623000000000001","0.023201250000000003"
"Central African Republic","0.0193","0.016832"
"Chile","1.0017","0.07135126560952387"
"China","22.5","0.3341363353010599"
"Colombia","1.246","0.43695999999999996"
"Congo","0.3","0.0782375"
"Costa Rica","0.23445","0.0729037037037037"
"Cote DIvoire","0.294","0.150375"
"Croatia","0.522","0.13643750000000002"
"Cuba","0.5","0.2712"
"Cyprus","0.868","0.48933333333333334"
"Czech Republic","2.133","0.03651883116883111"
"Democratic Republic of the Congo","1.7750000000000001","0.20380266666666672"
"Denmark","0.8150000000000001","0.17202553191489367"
"Djibouti","0.107332","0.107332"
"Dominican Republic","0.43","0.12387266666666667"
"Ecuador","1.5","0.1929763636363636"
"Egypt","2.754","0.5513467741935483"
"El Salvador","0.324","0.08865625"
"Equatorial Guinea","0.12","0.050166666666666665"
"Eritrea","0.10009000000000001","0.06659500000000002"
"Estonia","1.369","0.14952352941176472"
"Ethiopia","1.87","0.3095307692307693"
"Fiji","0.16","0.026448333333333334"
"Finland","1.76","0.06376627027027028"
"France","5.46","0.05132989740139216"
"French Guiana","0.11359999999999999","0.0421"
"Gabon","0.16","0.07446833333333334"
"Gambia","0.0414","0.0352"
"Georgia","1.3","0.20165263157894733"
"Germany","3.43","0.08559234139037437"
