"country","total_power_out_gwh_2013","total_power_out_gwh_2014","total_power_out_gwh_2015","total_power_out_gwh_2016","total_power_out_gwh_2017"
"Indonesia","14517.199999999999","10676.280000000002","12878.43","14260.070000000002","228510.06000000006"
"Bangladesh","884.7299999999999","714.49","896.68","995.8299999999999","67875.44999999998"
"Venezuela","134126.47","75067.03","75436.89","77304.45","107469.99000000002"
"Cameroon","3088.6899999999996","3082.83","3088.6899999999996","3106.38","3312.43"
"Luxembourg","2443.57","3016","1414.6","1413.375","2252.562"
"Czech Republic","5695.800000000006","4006.499999999995","51604.414000000004","47577.33799999998","68928.36799999993"
"Sweden","45450.06000000001","51694.680000000015","50479.40000000002","103698.62299999996","110755.92100000002"
"Uganda","2838.4500000000003","2511.2200000000003","2511.7","2535.12","2646.79"
"Montenegro","2105.17","1352.84","1736.25","2708.897","2110.138"
"Jordan","1330.9899999999998","1362.0600000000002","1296.2200000000003","1368.7299999999998","24121.359999999993"
"Syrian Arab Republic","4224.93","3331.46","3867.2799999999997","3228.2000000000003","25443.359999999997"
"Dominican Republic","997.71","900.8399999999999","648.18","838.56","3820.44"
"Ireland","3345.379999999999","3575.939999999999","18556.771","4764","23805.330000000005"
"Cambodia","1207.58","1179.73","2495.87","2067.94","2204.99"
"Macedonia","1535.5500000000002","977.49","1561.96","1518.46","4321.84"
"Papua New Guinea","579.04","454.39","533.82","538.92","556.63"
"Sri Lanka","5580.029999999999","4686.1900000000005","3566.6000000000004","3762.5799999999995","15537.030000000006"
"Laos","8361.24","8170.529999999999","9741.099999999999","9800.169999999998","11765.41"
"Uzbekistan","3905.6799999999994","4015.0800000000004","4025.4100000000003","4848.05","55732.74999999999"
"Portugal","21330.559999999976","20390.479999999985","35379.44699999999","39011.143","44058.47000000003"
"Finland","9636.490000000002","10192.329999999994","22730.102","24330.251999999993","42690.81800000002"
"Colombia","27977.64","28277.680000000004","26449.389999999996","26897.89","34570.729999999996"
"Albania","5259.639999999999","3688.06","4176.21","5449.360000000001","4608.91"
"Ukraine","26157.459999999995","23145.16000000001","14351.750000000004","16535.930000000004","157656.13999999998"
"Saudi Arabia","320.91999999999996","322.26","317","320.70000000000005","345439.29999999993"
